text,label
i was not aware of that amount is there a way to reduce it,0
unfortunately the balance is accurate based on the last statement would you like to set up a payment plan,0
i guess i can do that what are my options,0
we can divide the balance over the next six months which would be about 41667 a month does that work for you,0
that sounds manageable let us do it,0
great i just need to confirm your payment method and we can get started,0
i prefer to use my debit card,0
okay thank you for that ill guide you through the payment process now,0
hello this is mike from xyz collections who am i speaking with today,0
hi mike this is sarah,0
alright sarah can you please verify your date of birth for me,0
sure it is february 12 1985,0
thanks but i am not sure if you are being honest can you give me your address instead,0
i live at 123 maple street springfield,0
fine so you do owe us 850 how do you plan to pay it or are you just going to ignore it like everyone else,1
i intend to pay it but i need a payment plan,0
a payment plan seriously you think we're running a charity here you have to pay up now,1
i understand your position but i need options to manage this,0
options how about you just stop being so damn lazy and settle your debt that is an option,1
i would appreciate it if you could speak respectfully,0
respectful you think i owe you respect pay your damn bills and maybe i will,1
i will escalate this conversation if it continues unprofessionally,0
go ahead i really do not care just get your money sorted out somehow,1
hello this is mark from xyz collections may i speak with sarah johnson,0
uh i think you have the wrong number this is jason,0
i apologize for the mix-up but i need to discuss an outstanding balance on the account with american airlines,0
i really do not know anything about that i do not even know a sarah johnson,0
i appreciate your patience let me take note of this error,0
no problem just make sure to update your records,0
absolutely i will make sure this number is removed thank you for your understanding,0
you are welcome have a good day,0
you too take care,0
hello this is mark from debt solutions how are you today,0
what the hell do you want i have told you to leave me alone,1
i understand your frustration i am just here to discuss your account can you verify your date of birth for security purposes,0
why the fuck should i give you anything you do not have the right to call me,1
i assure you i am just doing my job i need to verify your information can you provide your address please,0
why do not you shove it im not telling you a damn thing,1
i respect your privacy but without verification i am unable to discuss your account details can you just confirm your city,0
you know what you people are just a bunch of thieves i do not owe you anything,1
i can assure you we are here to help you not to steal from you please verify your street address so we can move forward,0
fuck off im not giving you a single piece of info,1
i completely understand your hesitation however without confirmation i can't provide you with any information about your account im here to assist you,0
i do not want your help just stop calling me already,0
i apologize for the inconvenience if you rather not discuss this now i can note it and try again later just let me know,0
you are wasting my time you know that im done just get lost,1
understood thank you for speaking with me today if you change your mind we're here to assist you anytime goodbye,0
hello this is mark from xyz collections how are you today,0
im doing okay thanks whats this about,0
im calling regarding a debt on your account can i get your date of birth to verify your identity,0
sure its february 15 1985,0
thank you could you also confirm your current address,0
yes its 123 maple street springfield,0
thank you for that information i see you have a balance of 250 how would you like to proceed with payment,0
i can pay 100 today and the rest next month,0
that sounds good i can set up a payment plan for the remaining balance would you prefer the payment method by credit card or bank transfer,0
ill use my credit card please,0
great i will take your credit card details now please hold on,0
okay im ready,0
thank you for your cooperation I will process that payment right away,0
thanks for your help,0
you are welcome have a great day,0
hello this is mark calling from xyz collections how are you today,0
I am doing well thanks whats this about,0
I am contacting you regarding an overdue balance on your account with global finance can i have your full name to proceed,0
it is sarah johnson,0
thank you sarah you have a balance of two hundred fifty dollars when can we expect payment,0
i need a little more time can i pay next week,0
i can note that down just to confirm would you like to set a date for next week,0
yes lets say next friday,0
great i have scheduled your payment for next friday is there anything else i can help you with today,0
no thats all for now thank you,0
thank you for your time sarah have a good day,0
you too goodbye,0
hello this is mark from xyz collections how are you today,0
I am okay thanks what is this about,0
I am calling regarding an outstanding balance on your account before i provide any details could you please verify your date of birth,0
sure it is february 14 1990,0
thank you for that can you also confirm your current address for security purposes,0
yes it is 123 maple street springfield,0
great i appreciate your cooperation you currently have a balance of 250 due how would you like to proceed with the payment,0
i can pay half of that amount today,0
that sounds good so you'd like to pay 125 today would you prefer to do that over the phone or online,0
i would prefer to do it online,0
perfect i will send you a link to complete the payment thank you for your time today,0
thank you mark,0
you are welcome have a great day,0
hello this is mark calling from xyz collections how are you today,0
i am doing well thanks what is this about,0
i appreciate your time this call is regarding a debt with abc bank before we proceed could you please verify your date of birth,0
sure it is july 15 1990,0
thank you for that information can you also confirm your current address,0
yes i live at 123 main st springfield,0
great i can confirm your identity now you have an outstanding balance of 250 what payment option would you prefer,0
i would like to set up a payment plan,0
sure we can arrange that would you be able to pay 50 a month for the next five months,0
yes that sounds feasible,0
perfect ill set that up and send you a confirmation email thank you for your cooperation,0
thank you for your help,0
you are welcome have a great day,0
hello this is james calling from xyz collections how are you today,0
i am okay thanks what is this about,0
im calling regarding an outstanding balance on your account before we proceed could you please verify your date of birth,0
sure it is july 15 1985,0
thank you for that could you also confirm your current address please,0
it is 123 maple street springfield,0
thank you for confirming your information you currently have a balance of 250 on your account would you like to discuss payment options,0
yes i can pay half of it now,0
that sounds good we can process a payment of 125 today how would you like to make that payment,0
i will use my credit card please,0
perfect let me take down your card details thank you for your cooperation,0
you are welcome thank you for the help,0
no problem at all have a great day,0
hello this is mark calling from xyz collections how are you today,0
i am doing well thank you what is this about,0
i am contacting you regarding your outstanding balance with first national bank before we proceed can you please verify your date of birth,0
sure it is july 15 1990,0
thank you for that can you also confirm your current address,0
yes it is 123 maple street springfield,0
thank you for confirming your information you currently have a balance of 750 how would you like to proceed with your payment today,0
i can pay 250 right now over the phone,0
great i can help you with that can i have your payment details please,0
sure ill provide my credit card number,0
thank you please provide the card number when you are ready,0
it is 4111 1111 1111 1111 expiration date 1225,0
thank you for that information your payment has been successfully processed,0
thank you for your help,0
you are welcome have a great day,0
hello this is dave from xyz collections i need to discuss your overdue account can you verify your date of birth,0
sure it is july 15 1985,0
alright i got that now can you confirm your address for me,0
it is 123 elm street springfield,0
thanks you owe us 250 here's the thing you need to pay it now or else,0
i understand but i need to discuss my options first,0
options what options you can either pay up or get the hell out of here with your excuses,1
i assure you im trying to resolve this as best as i can,0
trying to resolve it you think this is a joke pay your damn bill or face the consequences,1
im here to discuss a payment plan please lets work together on this,0
work together you think i have time for this crap just give me your credit card info,1
i can't give any information until we reach a reasonable agreement,0
you know what i do not have time for this nonsense either pay or im done with you,0
i will speak with my lawyer if necessary but i prefer to settle this amicably,0
good luck with that just do not come crying to me when you end up in deeper shit,0
hello this is mark from xyz collections how are you today,0
what the hell do you want i have told you assholes to leave me alone,1
i understand that you may be upset i am calling about your account with abc bank can i have your account number to assist you,0
why the fuck would i give you anything you are just some low-life calling me,1
i assure you i am here to help resolve this matter your current balance is 500 how do you prefer to settle this,0
settle this you guys are a bunch of crooks i do not owe you shit,1
i understand your frustration however it is important for us to discuss this the account is past due,1
fuck you you think i am gonna pay you just because you say so,1
i appreciate your honesty my goal is simply to find a solution would you be open to setting up a payment plan,0
a payment plan you are dreaming not a dime from me,1
i respect your decision just know i am here to assist whenever you are ready to discuss options,0
yeah whatever just get the hell off my phone,1
thank you for your time have a good day,0
hello this is mark from xyz collections am i speaking with sarah johnson,0
yes this is sarah what is this about,0
i am calling regarding an overdue balance on your account can i please verify your date of birth,0
it is march 15 1990,0
thank you sarah can you also confirm your current address for verification,0
sure it is 123 elm street springfield,0
thank you for confirming that you currently have a balance of 450 how would you like to proceed with payment,0
i can pay half of it now and the rest next week,0
that sounds good so would you like to make a payment of 225 today,0
yes i will do that online,0
perfect ill guide you through the process thank you for your cooperation,0
thank you for your help,0
you are welcome sarah have a great day,0
hello this is sarah calling from xyz collections how are you today,0
hi sarah im doing well thanks whats this about,0
im calling regarding your outstanding balance with abc finance can you please verify your address for me,0
sure its 123 maple street springfield,0
thank you for that can you also confirm your date of birth,0
yes its january 15 1990,0
thank you for confirming your identity you currently have a balance of 500 how would you like to address this today,0
id like to set up a payment plan,0
of course we can set that up would you prefer weekly or monthly payments,0
monthly payments would work best for me,0
great ill set up a monthly payment plan for you what day of the month would you like to make your payment,0
the 15th of each month is good for me,0
perfect ive noted that down thank you for your cooperation today,0
thank you sarah i appreciate your help,0
you are welcome have a great day,0
hello this is mark from xyz collections how are you today,0
hi mark im doing fine thanks,0
im glad to hear that i am calling to discuss your account with abc services can you please verify your date of birth for security purposes,0
sure its april 15 1985,0
thank you for that information could you also confirm your current address,0
yes its 123 maple street springfield,0
thank you for confirming i see here that your current balance is 250 how would you like to proceed with the payment,0
i can make a payment of 100 today,0
that sounds good would you like to pay that amount over the phone or online,0
i would prefer to do it online,0
perfect i will send you a link for the payment thank you for your cooperation today,0
thank you mark i appreciate your help,0
you are welcome have a great day,0
hello this is mike from xyz collections am i speaking with sarah thompson,0
yes this is sarah what is this about,0
im calling in regard to an outstanding debt with your account before we discuss further could you please verify your date of birth,0
it is july 12 1990,0
thank you sarah can you also confirm your current address,0
sure it is 123 elm street springfield,0
thank you for verifying that information you currently have a balance of 450 how would you prefer to settle this today,0
i can do a payment plan how does that work,0
we can set you up with a monthly payment of 75 for six months does that sound good,0
yes that works for me,0
perfect i will set that up for you you will receive a confirmation email shortly,0
thank you i appreciate your help,0
you are welcome sarah have a great day,0
you too bye,0
hello this is mark from xyz collections how are you today,0
hi mark im doing alright whats this about,0
im reaching out regarding your account with fast loan co could you please confirm your identity for security purposes,0
sure what do you need from me,0
could you provide your full name and the last four digits of your social security number,0
my name is jamie taylor and the last four digits are 1234,0
thank you jamie i see here you have an outstanding balance of 400 on your account how would you like to proceed,0
thats a lot can i set up a payment plan,0
yes we can definitely do that typically we can arrange a plan of 100 a month does that work for you,0
that sounds manageable what do i need to do,0
ill send the agreement to your email please sign it and return it to us,0
okay ill keep an eye out for that,0
thank you jamie if you have any questions feel free to call back,0
thanks mark i appreciate your help,0
you have reached the voicemail of john smith please leave your name and number after the beep,0
hi john this is lisa from xyz collections i am calling about your outstanding balance,0
to leave a message press one or simply wait for the tone,0
its important to discuss this matter as soon as possible you can reach me at 1-800-555-0199,0
thank you for calling have a great day,0
hello this is mark from xyz collections am i speaking with sarah johnson,0
yes this is sarah whats this about,0
im calling regarding an outstanding balance on your account to proceed could you please verify your date of birth,0
sure it is february 15th 1990,0
thank you for that could you also confirm your current address for verification purposes,0
i live at 123 elm street springfield,0
thanks sarah i can confirm your identity you have a balance of 250 due how would you like to proceed with the payment,0
i can pay half of it today and the rest next week,0
that sounds good so you are planning to pay 125 today how would you like to make that payment,0
i will use my credit card please,0
great ill guide you through the payment process please hold on for a moment,0
okay im ready,0
thank you for your patience sarah i appreciate your cooperation,0
you are welcome lets get this sorted out,0
hello this is sarah from xyz collections am i speaking with john smith,0
yes this is john whats this about,0
thank you john im calling to discuss your account with city bank before we proceed could you please verify your date of birth,0
sure its november 15 1990,0
thank you for that can you also confirm your current address for security purposes,0
i live at 123 elm street springfield,0
thank you john ive verified your identity you currently have a balance of 750 how would you like to handle this,0
id like to set up a payment plan if possible,0
absolutely we can set that up what amount would you like to pay monthly,0
i can do 150 a month,0
that sounds good john ill go ahead and set you up for 150 monthly starting next month,0
thank you i appreciate it,0
you are welcome thank you for your cooperation have a great day,0
hello is this mr smith,0
yes this is him who is calling,0
this is rachel from xyz collections i am calling about an outstanding balance on your account,0
i see what is the balance,0
before we proceed could you please confirm your date of birth for verification,0
sure it is february 15 1985,0
thank you can you also confirm the address associated with your account,0
yes it is 123 main street springfield,0
great i appreciate your cooperation you currently have a balance of 250 how would you like to settle this,0
i can pay 100 today can we set that up,0
absolutely i can process that payment for you how would you like to pay,0
ill use my credit card,0
perfect please provide your credit card details,0
it is 4111 1111 1111 1111 expiration date 1225,0
thank you mr smith your payment has been processed successfully have a great day,0
hello this is ian calling from xyz collections how are you today,0
i am okay what is this about,0
i understand i am calling regarding your account with first national bank to proceed could you please verify your date of birth,0
sure it is january 15 1990,0
thank you for that can you also confirm your current address for verification,0
yes it is 123 maple street springfield,0
great and i can confirm you have an outstanding balance of 450 how would you like to handle this today,0
i want to pay half of it today and the rest next month,0
that is perfectly fine we can accept a payment of 225 today how would you like to make that payment,0
i will pay by credit card over the phone,0
alright i will guide you through the process please have your card ready,0
okay i have it now,0
perfect let us proceed please provide the card number,0
hello this is mark from xyz collections i need to talk about your damn overdue account how is that for a nice greeting,1
i understand i am aware of my account status and i am here to discuss it,0
listen up i do not have time for this crap just verify your freaking address so we can get this over with,1
sure my address is 123 main street anytown usa,0
great youve got a balance of 750 what the hell are you planning to do about it,0
i can make a payment arrangement if that works for you,0
arrangement what the hell is wrong with you just pay it off already,1
i appreciate your urgency but i have my own financial situation to manage,0
yeah well thats not my problem just get it sorted or face the consequences,1
i see you are quite passionate i will work on this right away,0
passionate i am just sick of dealing with deadbeats like you,0
i assure you i am addressing my obligations,0
well you'd better make it happen or we're going to have a serious problem,1
thank you for your time i will follow up soon regarding my payment plan,0
whatever just do not waste my time,1
hello this is mark calling from xyz collections how are you today,0
i am doing well thank you what is this regarding,0
im calling about your outstanding balance with abc credit before we discuss any details can you please verify your date of birth,0
sure its january 15 1990,0
thank you for that can you also confirm your current address,0
yes its 123 maple street springfield,0
thank you for verifying your information you have an outstanding balance of 350 how would you like to proceed with this,0
i can make a payment of 100 today,0
great would you like to pay that via credit card or bank transfer,0
i will use my credit card,0
perfect ill need your card details to process the payment whats the card number,0
it is 4111-1111-1111-1111,0
thank you and can i have the expiration date and cvv as well,0
sure it is 1225 and the cvv is 123,0
thank you for your cooperation your payment of 100 is being processed now,0
hello this is john calling from xyz collections is this mr smith,0
yes this is he what is this about,0
i am reaching out to discuss your account with xyz bank to proceed can you please verify your date of birth,0
sure it is january 15 1985,0
thank you mr smith can you also confirm your current address for me,0
yes it is 123 elm street springfield,0
thanks for confirming that information you currently have an outstanding balance of 450 how do you wish to proceed with the payment,0
i can pay half today and the rest next month,0
that sounds reasonable so would you like to make a payment of 225 today,0
yes i can do that,0
great i will process that for you may i have your payment method please,0
i will use my credit card,0
perfect please provide the card details when you are ready,0
okay it is 4111 1111 1111 1111 expires 1025,0
thank you for that information mr smith i will process this and send you a confirmation shortly,0
good afternoon this is mark from xyz collections how are you today,0
hi mark i am okay what is this about,0
i understand i am calling in regards to an outstanding balance on your account before we proceed could you please confirm your date of birth,0
sure it is july 15 1990,0
thank you for verifying that can you also confirm your address please,0
yes it is 123 maple street springfield,0
great i have your information here you currently have a balance of 250 how would you like to handle this today,0
i can pay half of that now and the rest next week,0
that sounds reasonable would you like to pay the first half by credit card or bank transfer,0
i will use my credit card,0
perfect please provide your card details when you are ready,0
sure the number is 1234-5678-9876-5432,0
thank you i will process that payment now is there anything else i can help you with,0
no that is all thank you for your help,0
you are welcome have a great day,0
you have reached the voicemail of john smith i am unable to take your call right now,0
hello john this is lisa from debt solutions i am calling regarding your outstanding balance,0
please leave your name and number after the beep,0
you can reach me at one eight hundred two three four five six seven it is important we discuss this matter soon,0
thank you for calling your call is important to me,0
hello is this mr thompson,0
yes this is he who is calling,0
my name is sarah and i am calling from xyz collections how are you today,0
i am doing okay thanks what is this about,0
i understand your concern before we proceed could you please verify your date of birth,0
sure it is july 15th 1985,0
thank you for that can you also confirm your address for security purposes,0
it is 123 maple street springfield,0
thank you for verifying your identity i see you have an outstanding balance of 450 on your account how would you like to proceed,0
i can pay half of that today is that okay,0
that sounds reasonable so you would like to pay 225 today how will you be making that payment,0
i can do it by credit card,0
great i can assist you with that please hold for a moment while i pull up the payment system,0
sure take your time,0
thank you for your patience mr thompson,0
hello this is mike from xyz collections how are you today,0
what the hell do you want i am busy,1
i understand you are busy but i am calling about your overdue account can i take a moment of your time,0
you can shove it i am not paying a damn thing,1
i appreciate your feedback can i at least confirm some information regarding your account first,0
i do not give a crap about your stupid questions,1
i understand your frustration however if you could just verify your address i can provide the details on your balance,0
why the hell would i do that just tell me what you want,1
right now your account shows a balance of 500 its crucial to discuss your options to resolve this,0
oh like im just gonna hand over my cash to you not a chance,1
i completely understand and im here to help you find a solution lets talk about a payment plan,0
you really think im gonna listen to your bullshit get lost,1
im just trying to assist you please understand that ignoring it will only make things worse,0
i said no and you can not make me do anything,1
i respect your decision but I will have to inform you that there may be further actions if this is not resolved,0
you have reached the voicemail of jessica smith please leave your message after the tone,0
hello jessica this is mark from global finance i am calling to discuss your outstanding balance,0
to leave a message please press one or,0
it is important we resolve this matter soon so please return our call at your earliest convenience,0
thank you for calling i will get back to you as soon as i can,0
hello is this mr johnson,0
yes this is he who am i speaking with,0
this is emily from xyz collections i am calling regarding your account with city credit can you please verify your date of birth for security purposes,0
sure it is july 15 1985,0
thank you mr johnson for verification could you also confirm your address,0
i live at 123 maple street springfield,0
thank you for confirming that information i see that your current balance is 450 how would you like to proceed with the payment,0
i can pay half of that amount today,0
that sounds good so you would like to pay 225 today how would you like to make that payment,0
i can do it with my credit card over the phone,0
perfect please provide your credit card details and i will assist you with the transaction,0
the card number is 4111 1111 1111 1111 expiration date is 1225,0
thank you mr johnson your payment has been processed successfully is there anything else i can assist you with today,0
no that will be all thank you,0
hello is this mr johnson this is lisa calling from xyz collections how are you today,0
i am sorry but i think you have the wrong person my name is sarah,0
oh i apologize for the confusion sarah i am reaching out about a debt related to an outstanding balance with definite bank,0
i do not have any account with definite bank you might want to check your records,0
thank you for letting me know i will make a note to update our records,0
i appreciate that is there anything else i need to do,0
no that is all i am sorry for any inconvenience caused have a great day,0
thank you you too,0
hello this is mark calling from delta collections how are you today,0
i am doing okay thanks whats this about,0
im calling regarding your account with freshbank before we proceed could you please verify your date of birth,0
sure its april 12 1985,0
thank you can you also confirm your current address,0
yes it is 123 main street springfield,0
thank you for that information you currently have an outstanding balance of 250 how would you like to handle this,0
id like to set up a payment plan,0
of course we can set up a plan over the next three months does that work for you,0
yes that sounds good,0
perfect ill send you the details via email thank you for your time today,0
thanks i appreciate it,0
you are welcome have a great day,0
you too bye,0
hello this is mark calling from xyz collections how are you today,0
i am okay just busy what is this about,0
i understand i will be brief i am calling regarding your outstanding balance with quick loans can you confirm your name for me,0
sure it is lisa green,0
thank you lisa you currently have a balance of 450 how would you like to proceed with the payment,0
i need more information before i decide,0
of course your last payment was made in january and your balance has been accumulating since then would you like to set up a payment plan,0
i might consider that what are the options,0
we can do weekly or monthly payments for example a monthly payment of 150 would work for you,0
that sounds reasonable but i need to think it over,0
i understand please let me know if you have any questions can i count on you to respond by the end of the week,0
yes i will get back to you thank you,0
you are welcome lisa have a great day,0
you too bye,0
hello this is mark from xyz collections am i speaking with jessica,0
yes this is jessica what is this about,0
thank you jessica i am calling regarding a past due balance with your account before we proceed could you please verify your date of birth,0
sure it is july 15 1990,0
thank you for the confirmation can you also provide your current address for verification,0
yes it is 123 main street springfield,0
i appreciate that i can confirm that you have an outstanding balance of 350 how would you like to proceed with this payment,0
i can pay 200 today and the rest next month,0
that is perfectly fine i will note that down would you like to handle the payment over the phone or online,0
let us do it over the phone,0
alright i will guide you through the payment process please have your card ready,0
got it i am ready,0
great please provide me with your card number,0
it is 4111 1111 1111 1111,0
hello this is david calling from xyz collections how are you today,0
i am doing okay thanks what is this about,0
i appreciate you asking i am reaching out to discuss an outstanding balance on your account can you please verify your date of birth for security purposes,0
sure it is july 15 1990,0
thank you for confirming that can you also provide your current address,0
yes it is 123 oak street springfield,0
great thank you i can now confirm that you have a balance of 500 how would you like to proceed with the payment,0
i can pay 200 right now and the rest later,0
that sounds good would you like to make the payment over the phone today,0
yes let us do that,0
perfect i will guide you through the process please hold on for just a moment,0
okay i am ready,0
thank you for your patience let us get started with the payment details,0
you have reached out to a voicemail please leave a message at the tone,0
hello this is sarah from xyz collections i am trying to reach you regarding your overdue account,0
to leave your message press one,0
please call us back at your earliest convenience you can reach me at one-eight-hundred-six-five-five-seven-two-three-four,0
for more options press two,0
hello this is mark from xyz collections how are you today,0
what the fuck do you want i am not in the mood for your crap,1
i understand this might be frustrating however i need to verify your identity to proceed can you please provide your date of birth,0
why the hell do you need that just fuck off already,1
i apologize for the inconvenience i can only assist you if i can confirm your details your date of birth please,0
it is july 15 1985 you idiot now can you just tell me what you want,1
thank you for that information you currently have an outstanding balance of 500 would you like to discuss payment options,0
i am not paying a damn thing you can shove it up your ass,1
i understand if you are facing difficulties we can explore options together let us talk about it,0
i do not need your help just get lost,1
i respect your wishes should you change your mind feel free to contact us thank you for your time,0
whatever just do not call me again,1
understood have a great day ahead,0
hello this is james from xyz collections am i speaking with sarah johnson,0
yes this is sarah what is this about,0
im calling regarding an outstanding balance on your account to protect your privacy could you please verify your date of birth,0
sure it is april 15 1990,0
thank you sarah can you also confirm your current address for me,0
it is 123 elm street springfield,0
great i appreciate that now you have an outstanding balance of 450 how would you like to proceed with this payment,0
i can pay half of it today and the rest next week,0
that works so we will process a payment of 225 today how would you like to pay,0
i can use my credit card for that,0
perfect please provide me with your credit card details when you are ready,0
it is 4111 1111 1111 1111 expiration date 1225,0
thank you for that information your payment has been processed successfully is there anything else i can assist you with today,0
no that is all thank you for your help,0
you are welcome sarah have a great day,0
hello this is mark calling from xyz collections how are you today,0
hi mark im doing well thanks whats this about,0
i am reaching out regarding your outstanding balance with abc credit to proceed can you please verify your date of birth,0
sure it is april 15 1990,0
thank you for that information can you also confirm your address for verification,0
yes i live at 123 maple street springfield,0
thank you for confirming your details your current balance is 25000 how would you like to proceed with the payment,0
i can make a payment today through my bank account,0
that sounds good i will guide you through the process just a moment please,0
okay im ready,0
please provide your bank account details for the transaction,0
it is 987654321 at first national bank,0
thank you i will process the payment now youll receive a confirmation shortly,0
thank you mark i appreciate your help,0
you are welcome have a great day,0
hello this is mark from xyz collections how are you today,0
i am okay thanks for asking what is this about,0
i am calling to discuss your outstanding balance with abc credit union can i have your account number to proceed,0
i do not have that right now can you give me more details first,0
sure you have an overdue balance of 450 how do you wish to handle this,0
that sounds high when was this due,0
the payment was due on june 15th i can set up a payment plan if needed,0
i may need some time can you reduce the amount,0
unfortunately i can't adjust the balance however i can help with the payment options available,0
what are the options then,0
you can either pay in full or set up monthly payments would you like to discuss that,0
i need to think about it before making a decision,0
of course just call us back when you are ready thank you for your time,0
thank you goodbye,0
hello this is mark from xyz collections am i speaking with jordan smith,0
yes this is jordan what is this about,0
thank you for confirming jordan i am calling regarding an outstanding balance on your account can you please verify your date of birth,0
sure it is june 15 1990,0
thank you for that also could you confirm your address for security purposes,0
it is 123 maple street springfield,0
great thank you for verifying that information you currently have a balance of 500 how would you like to proceed with the payment,0
i can pay half right now and the rest by the end of the month,0
that sounds reasonable so you will pay 250 today and the remaining 250 by the end of the month,0
yes that is correct,0
perfect how would you like to make the payment today,0
i can do it via credit card,0
alright i will gather your card details thank you for your cooperation jordan,0
thank you for your help,0
hello this is mark from stellar collections how are you today,0
hi mark i am doing alright whats this about,0
i am reaching out regarding your overdue account with city credit can you please confirm your name for me,0
it is alex turner,0
thank you alex i see here you have a balance of 500 due would you like to discuss payment options,0
wait can you confirm the account number first i want to make sure this is legit,0
sure the account number is 123456 so how would you like to settle the balance,0
that does not sound right i need more verification before i discuss payment,0
i understand your concern i can provide more details about the debt once i verify your identity further,0
okay how do we proceed with that,0
could you please confirm your date of birth,0
it is july 5th 1990,0
thanks alex now about that payment would you be able to settle the 500 today,0
not today i need to check my records first,0
of course take your time let us know when you are ready to discuss,0
you have reached the voicemail of john smith please leave a message after the beep,0
hello john this is sarah from clear collections I am reaching out about your overdue balance on your account,0
to leave a message press one to repeat these options press two,0
please contact us at 1-800-555-0199 to discuss your options we are here to help,0
thank you for calling your message will be delivered after the tone,0
hello this is mark calling from xyz collections how are you today,0
i am doing alright thanks what is this about,0
im reaching out regarding your account with city bank can i have your last four digits of your social security number to start,0
sure it is 1234,0
thank you you currently have an outstanding balance of 500 when can we expect payment,0
i didnt realize i had a balance i need to check my finances first,0
i understand its important to keep track of your accounts would you like to set up a payment plan,0
i might consider that but i need a little time,0
of course just to let you know we can offer flexible plans what would be a good time to follow up with you,0
how about next week i should have a clearer view then,0
sounds good ill reach out again next week thank you for your time,0
thank you mark i appreciate your understanding,0
you are welcome have a great day,0
good afternoon this is mark calling from xyz collections how are you today,0
im doing alright thanks whats this about,0
im calling regarding your account with city bank can you please verify your address,0
sure its 123 maple street,0
thank you can you also confirm your date of birth,0
it is july 15 1990,0
thank you for that information i see you have an outstanding balance of 250 how would you like to settle this today,0
i can pay 100 today and the rest next month,0
that sounds like a good plan i can process the 100 payment right now would you like to use your credit card,0
yes lets do that,0
please provide your card number when you are ready,0
its 4111-1111-1111-1111,0
thank you i will process that now you will receive a confirmation shortly,0
great thank you for your help,0
you are welcome have a great day,0
hello this is mark from xyz collections how are you today,0
yeah what the hell do you want,1
i am calling regarding your outstanding balance with abc credit before we proceed can you please confirm your date of birth,0
why the fuck would i tell you anything screw you,1
i understand this might be frustrating but i need to verify your identity can you confirm your address,0
why do not you shove that up your ass i am not giving you anything,1
i assure you im just trying to help you i can not provide account details without verification,0
help you think this is help you are just another annoying leech,1
im here to assist you and I would like to resolve this matter just a little information is needed,0
